"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Filtering is not available for the Form widget","21179","Filtering test","","Fri Apr 04 08:25:21 UTC 2025","passed","Fri Apr 04 08:25:42 UTC 2025","","Form. Checking the basic functions for the CheckBox","application.Samples.Form.CheckBoxOnFormTest","filtration"
"The test sets the value with the wrong data type in the field. After approval, it checks the text under the field, which informs about the correctness of the type of data entered","22106","Required Message validation test for one field","","Fri Apr 04 08:20:54 UTC 2025","passed","Fri Apr 04 08:21:16 UTC 2025","","Form. Checking the basic functions for the FileUpload in the widget Form","application.Samples.Form.FileUploadOnFormTest","fieldLevelValidationAnnotation"
"DrillDown is not available for InfoWidget.","27493","The DrillDown test","","Fri Apr 04 08:36:23 UTC 2025","passed","Fri Apr 04 08:36:51 UTC 2025","","Info. Checking the basic functions for the CheckBox","application.Samples.Info.CheckboxOnInfoTest","drillDown"
"DrillDown is not available for InfoWidget.","11604","The DrillDown test","","Fri Apr 04 08:38:46 UTC 2025","passed","Fri Apr 04 08:38:58 UTC 2025","","Info. Checking the basic functions for the Number","application.Samples.Info.NumberOnInfoTest","drillDown"
"The test sets the value with the wrong data type in the field. After approval, it checks the text under the field, which informs about the correctness of the type of data entered","28200","Required Message validation test for one field","","Fri Apr 04 08:16:28 UTC 2025","passed","Fri Apr 04 08:16:57 UTC 2025","","Form. Checking the basic functions for the Date in the widget Form","application.Samples.Form.DateOnFormTest","fieldLevelValidationAnnotation"
"Getting a Placeholder is not available","18406","Test for getting the Placeholder value","","Fri Apr 04 08:11:12 UTC 2025","passed","Fri Apr 04 08:11:30 UTC 2025","","Form. Checking the basic functions for the MultiValueHover in the widget Form","application.Samples.Form.MultiValueHoverOnFormTest","placeholder"
"The test deletes the value by checking the autocomplete in a blank field","28876","Auto-completion test after cleaning","","Fri Apr 04 08:15:13 UTC 2025","passed","Fri Apr 04 08:15:42 UTC 2025","","Form. Checking the basic functions for the Percent in the widget Form","application.Samples.Form.PercentOnFormTest","nullable"
"DrillDown is not available for InfoWidget.","25427","The DrillDown test","","Fri Apr 04 08:32:20 UTC 2025","passed","Fri Apr 04 08:32:46 UTC 2025","","Info. Checking the basic functions for the FileUp","application.Samples.Info.FileUploadOnInfoTest","drillDown"
"Sorting is not available for the Form widget","41939","Sorting test","","Fri Apr 04 08:22:53 UTC 2025","passed","Fri Apr 04 08:23:35 UTC 2025","","Form. Checking the basic functions for the MultiValue in the widget Form","application.Samples.Form.MultiValueOnFormTest","sorting"
"Checking the url before the transition and after the transition/click on a special element","24229","The DrillDown test","","Fri Apr 04 08:10:48 UTC 2025","passed","Fri Apr 04 08:11:12 UTC 2025","","Form. Checking the basic functions for the Dictionary in the widget Form","application.Samples.Form.DictionaryOnFormTest","drillDown"
