"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Info Widget is always read-only","10228","A test to check the field for ""Read-only""","","Fri Mar 28 11:19:02 UTC 2025","passed","Fri Mar 28 11:19:12 UTC 2025","","Info. Checking the basic functions for the CheckBox","application.Samples.Info.CheckboxOnInfoTest","readonly"
"Info Widget is always read-only","8695","A test to check the field for ""Read-only""","","Fri Mar 28 11:17:56 UTC 2025","passed","Fri Mar 28 11:18:04 UTC 2025","","Info. Checking the basic functions for the Money","application.Samples.Info.MoneyOnInfoTest","readonly"
"The test sets the value in the field. After approval, by clicking on the save button, the popup window, the title, the text in it, and the buttons are validated","12418","Confirmation Popup Validation Test","","Fri Mar 28 10:35:54 UTC 2025","passed","Fri Mar 28 10:36:07 UTC 2025","","Form. Checking the basic functions for the Percent in the widget Form","application.Samples.Form.PercentOnFormTest","confirm"
"The test checks for the disabled attribute","11359","A test to check the field for ""Read-only""","","Fri Mar 28 10:28:45 UTC 2025","passed","Fri Mar 28 10:28:56 UTC 2025","","Form. Checking the basic functions for the Dictionary in the widget Form","application.Samples.Form.DictionaryOnFormTest","readonly"
"Info Widget is always read-only","8617","A test to check the field for ""Read-only""","","Fri Mar 28 11:23:01 UTC 2025","passed","Fri Mar 28 11:23:10 UTC 2025","","Info. Checking the basic functions for the Number","application.Samples.Info.NumberOnInfoTest","readonly"
"Info Widget is always read-only","8050","A test to check the field for ""Read-only""","","Fri Mar 28 11:12:26 UTC 2025","passed","Fri Mar 28 11:12:34 UTC 2025","","Info. Checking the basic functions for the DateTime","application.Samples.Info.DateTimeOnInfoTest","readonly"
"","8848","The test for getting the value from the field","","Fri Mar 28 11:18:04 UTC 2025","passed","Fri Mar 28 11:18:13 UTC 2025","","Info. Checking the basic functions for the Money","application.Samples.Info.MoneyOnInfoTest","read"
"The test sets a value with the wrong data type in several fields for different widgets. After approval, it checks the text under the field, which informs about the correctness of the type of data entered","12284","Required Message validation test for multiple fields","","Fri Mar 28 11:01:56 UTC 2025","passed","Fri Mar 28 11:02:08 UTC 2025","","Form. Checking the basic functions for the CheckBox","application.Samples.Form.CheckBoxOnFormTest","fieldLevelValidation"
"Sorting is not available for the Form widget","10326","Sorting test","","Fri Mar 28 10:39:09 UTC 2025","passed","Fri Mar 28 10:39:19 UTC 2025","","Form. Checking the basic functions for the Radio in the widget Form","application.Samples.Form.RadioOnFormTest","sorting"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated","9351","Run-time exception validation test","","Fri Mar 28 10:27:49 UTC 2025","passed","Fri Mar 28 10:27:58 UTC 2025","","Form. Checking the basic functions for the DateTime in the widget Form","application.Samples.Form.DateTimeOnFormTest","runtimeException"
"The transition/Redirect is not available","8126","The DrillDown test","","Fri Mar 28 10:49:00 UTC 2025","passed","Fri Mar 28 10:49:08 UTC 2025","","Form. Checking the basic functions for the Hint in the widget Form","application.Samples.Form.HintOnFormTest","drillDown"
"The test clears the field and clicks the Save button. Then validates the message that the field is required","10079","Required Message text Verification field test","","Fri Mar 28 10:32:15 UTC 2025","passed","Fri Mar 28 10:32:25 UTC 2025","","Form. Checking the basic functions for the Money in the widget Form","application.Samples.Form.MoneyOnFormTest","required"
"The test sets a value with the wrong data type in several fields for different widgets. After approval, it checks the text under the field, which informs about the correctness of the type of data entered","10688","Required Message validation test for multiple fields","","Fri Mar 28 11:04:02 UTC 2025","passed","Fri Mar 28 11:04:13 UTC 2025","","Form. Checking the basic functions for the Number in the widget Form","application.Samples.Form.NumberOnFormTest","fieldLevelValidation"
