Log entries found: 11

Wed Mar 26 20:58:46 UTC 2025 SEVERE http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Fcode-samples.cxbox.org%2Fui%2F%23%2F&state=ee925332-54b7-435b-a4af-cf2d521df5bd&response_mode=fragment&response_type=code&scope=openid&nonce=443d7397-8f51-4321-8549-8ec1bd27295e - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/1kfbe/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

Wed Mar 26 20:59:00 UTC 2025 INFO http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Fcode-samples.cxbox.org%2Fui%2F%23%2F&state=ee925332-54b7-435b-a4af-cf2d521df5bd&response_mode=fragment&response_type=code&scope=openid&nonce=443d7397-8f51-4321-8549-8ec1bd27295e - Autofocus processing was blocked because a document already has a focused element.

Wed Mar 26 20:59:04 UTC 2025 SEVERE http://code-samples.cxbox.org/ui/static/js/main.51eac88e.js 1 WebSocket connection to 'ws://code-samples.cxbox.org/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NDMwMjMwNDIsImlhdCI6MTc0MzAyMjc0MiwiYXV0aF90aW1lIjoxNzQzMDIyNzQwLCJqdGkiOiI5YzhlMzIwOS04NWU3LTQ0M2UtYTlkOC03ZTZjN2RkYTk1YjEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJve...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.G3jibXP76M4GVY7WLNlH3P7sTWweisDGLdiWAZkwVkXedwNDevxZX6kfYUL6QElaLNOljtQYF17FiEVJRHgdbFfzjHLoXc4DyAysiVUCZuT5Z4NxOy9O-aQoIXyp2SdkMruiuAmTbpg7WMCkm6vt20lZr1NHJgG4XNO4sfkf85BEcz9FiecJvJHGdXMwJo6a5l0chGL5PHQWgZlt4-2x3ykFxO951eqtve6D7Q3tieydRnHofyYNWKDqBuiTs5fuOGVxSkwsfQzni1mmZD1KcGS-fQGH_qiP_4AEE5_jdmX1GUxr3IYX6w1pAi8hYyBoGIs2_EXaeqTsGN_1Hump5w' failed: Establishing a tunnel via proxy server failed.

Wed Mar 26 20:59:06 UTC 2025 SEVERE http://code-samples.cxbox.org/ui/static/js/main.51eac88e.js 1 WebSocket connection to 'ws://code-samples.cxbox.org/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NDMwMjMwNDIsImlhdCI6MTc0MzAyMjc0MiwiYXV0aF90aW1lIjoxNzQzMDIyNzQwLCJqdGkiOiI5YzhlMzIwOS04NWU3LTQ0M2UtYTlkOC03ZTZjN2RkYTk1YjEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJve...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.G3jibXP76M4GVY7WLNlH3P7sTWweisDGLdiWAZkwVkXedwNDevxZX6kfYUL6QElaLNOljtQYF17FiEVJRHgdbFfzjHLoXc4DyAysiVUCZuT5Z4NxOy9O-aQoIXyp2SdkMruiuAmTbpg7WMCkm6vt20lZr1NHJgG4XNO4sfkf85BEcz9FiecJvJHGdXMwJo6a5l0chGL5PHQWgZlt4-2x3ykFxO951eqtve6D7Q3tieydRnHofyYNWKDqBuiTs5fuOGVxSkwsfQzni1mmZD1KcGS-fQGH_qiP_4AEE5_jdmX1GUxr3IYX6w1pAi8hYyBoGIs2_EXaeqTsGN_1Hump5w' failed: Establishing a tunnel via proxy server failed.

Wed Mar 26 20:59:09 UTC 2025 SEVERE http://code-samples.cxbox.org/ui/static/js/main.51eac88e.js 1 WebSocket connection to 'ws://code-samples.cxbox.org/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NDMwMjMwNDIsImlhdCI6MTc0MzAyMjc0MiwiYXV0aF90aW1lIjoxNzQzMDIyNzQwLCJqdGkiOiI5YzhlMzIwOS04NWU3LTQ0M2UtYTlkOC03ZTZjN2RkYTk1YjEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJve...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.G3jibXP76M4GVY7WLNlH3P7sTWweisDGLdiWAZkwVkXedwNDevxZX6kfYUL6QElaLNOljtQYF17FiEVJRHgdbFfzjHLoXc4DyAysiVUCZuT5Z4NxOy9O-aQoIXyp2SdkMruiuAmTbpg7WMCkm6vt20lZr1NHJgG4XNO4sfkf85BEcz9FiecJvJHGdXMwJo6a5l0chGL5PHQWgZlt4-2x3ykFxO951eqtve6D7Q3tieydRnHofyYNWKDqBuiTs5fuOGVxSkwsfQzni1mmZD1KcGS-fQGH_qiP_4AEE5_jdmX1GUxr3IYX6w1pAi8hYyBoGIs2_EXaeqTsGN_1Hump5w' failed: Establishing a tunnel via proxy server failed.

Wed Mar 26 20:59:11 UTC 2025 SEVERE http://code-samples.cxbox.org/ui/static/js/main.51eac88e.js 1 WebSocket connection to 'ws://code-samples.cxbox.org/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NDMwMjMwNDIsImlhdCI6MTc0MzAyMjc0MiwiYXV0aF90aW1lIjoxNzQzMDIyNzQwLCJqdGkiOiI5YzhlMzIwOS04NWU3LTQ0M2UtYTlkOC03ZTZjN2RkYTk1YjEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJve...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.G3jibXP76M4GVY7WLNlH3P7sTWweisDGLdiWAZkwVkXedwNDevxZX6kfYUL6QElaLNOljtQYF17FiEVJRHgdbFfzjHLoXc4DyAysiVUCZuT5Z4NxOy9O-aQoIXyp2SdkMruiuAmTbpg7WMCkm6vt20lZr1NHJgG4XNO4sfkf85BEcz9FiecJvJHGdXMwJo6a5l0chGL5PHQWgZlt4-2x3ykFxO951eqtve6D7Q3tieydRnHofyYNWKDqBuiTs5fuOGVxSkwsfQzni1mmZD1KcGS-fQGH_qiP_4AEE5_jdmX1GUxr3IYX6w1pAi8hYyBoGIs2_EXaeqTsGN_1Hump5w' failed: Establishing a tunnel via proxy server failed.

Wed Mar 26 20:59:13 UTC 2025 SEVERE http://code-samples.cxbox.org/ui/static/js/main.51eac88e.js 1 WebSocket connection to 'ws://code-samples.cxbox.org/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NDMwMjMwNDIsImlhdCI6MTc0MzAyMjc0MiwiYXV0aF90aW1lIjoxNzQzMDIyNzQwLCJqdGkiOiI5YzhlMzIwOS04NWU3LTQ0M2UtYTlkOC03ZTZjN2RkYTk1YjEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJve...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.G3jibXP76M4GVY7WLNlH3P7sTWweisDGLdiWAZkwVkXedwNDevxZX6kfYUL6QElaLNOljtQYF17FiEVJRHgdbFfzjHLoXc4DyAysiVUCZuT5Z4NxOy9O-aQoIXyp2SdkMruiuAmTbpg7WMCkm6vt20lZr1NHJgG4XNO4sfkf85BEcz9FiecJvJHGdXMwJo6a5l0chGL5PHQWgZlt4-2x3ykFxO951eqtve6D7Q3tieydRnHofyYNWKDqBuiTs5fuOGVxSkwsfQzni1mmZD1KcGS-fQGH_qiP_4AEE5_jdmX1GUxr3IYX6w1pAi8hYyBoGIs2_EXaeqTsGN_1Hump5w' failed: Establishing a tunnel via proxy server failed.
