"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Filtering is not available for the Form widget","18781","Filtering test","","Thu Apr 03 07:51:00 UTC 2025","passed","Thu Apr 03 07:51:18 UTC 2025","","Form. Checking the basic functions for the Date in the widget Form","application.Samples.Form.DateOnFormTest","filtration"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated","21901","Run-time exception validation test","","Thu Apr 03 07:51:45 UTC 2025","passed","Thu Apr 03 07:52:07 UTC 2025","","Form. Checking the basic functions for the Money in the widget Form","application.Samples.Form.MoneyOnFormTest","runtimeException"
"The test sets the value in the field via Popup using a unique id, and then checks the value in the field with what needs to be set","23547","A test for setting a value in a field","","Thu Apr 03 08:00:06 UTC 2025","passed","Thu Apr 03 08:00:30 UTC 2025","","Form. Checking the basic functions for the PickList in the widget Form","application.Samples.Form.PickListOnFormTest","edit"
"Filtering is not available for InfoWidget.","24697","Filtering test","","Thu Apr 03 08:10:57 UTC 2025","passed","Thu Apr 03 08:11:22 UTC 2025","","Info. Checking the basic functions for the Text","application.Samples.Info.TextOnInfoTest","filtration"
"The InfoWidget doesn't have a Placeholder.","20301","Test for getting the Placeholder value","","Thu Apr 03 08:10:53 UTC 2025","passed","Thu Apr 03 08:11:14 UTC 2025","","Info. Checking the basic functions for the FileUp","application.Samples.Info.FileUploadOnInfoTest","placeholder"
"Checking the url before the transition and after the transition/click on a special element","29045","The DrillDown test","","Thu Apr 03 07:52:30 UTC 2025","passed","Thu Apr 03 07:52:59 UTC 2025","","Form. Checking the basic functions for the Radio in the widget Form","application.Samples.Form.RadioOnFormTest","drillDown"
"Filtering is not available for InfoWidget.","16639","Filtering test","","Thu Apr 03 08:07:45 UTC 2025","passed","Thu Apr 03 08:08:02 UTC 2025","","Info. Checking the basic functions for the MultiplySelect","application.Samples.Info.MultipleSelectOnInfoTest","filtration"
"The test sets a value with the wrong data type in several fields for different widgets. After approval, it checks the text under the field, which informs about the correctness of the type of data entered","28090","Required Message validation test for multiple fields","","Thu Apr 03 07:50:42 UTC 2025","passed","Thu Apr 03 07:51:10 UTC 2025","","Form. Checking the basic functions for the Dictionary in the widget Form","application.Samples.Form.DictionaryOnFormTest","fieldLevelValidation"
"Filtering is not available for the Form widget","22290","Filtering test","","Thu Apr 03 08:00:07 UTC 2025","passed","Thu Apr 03 08:00:29 UTC 2025","","Form. Checking the basic functions for the MultiValue in the widget Form","application.Samples.Form.MultiValueOnFormTest","filtration"
"Sorting is not available for the Form widget","46531","Sorting test","","Thu Apr 03 07:49:39 UTC 2025","passed","Thu Apr 03 07:50:26 UTC 2025","","Form. Checking the basic functions for the Percent in the widget Form","application.Samples.Form.PercentOnFormTest","sorting"
"The test sets the value in the field. After approval, by clicking on the save button, the popup window, the title, the text in it, and the buttons are validated","26519","Confirmation Popup Validation Test","","Thu Apr 03 07:50:56 UTC 2025","passed","Thu Apr 03 07:51:22 UTC 2025","","Form. Checking the basic functions for the Money in the widget Form","application.Samples.Form.MoneyOnFormTest","confirm"
"InfoWidget does not have a Hex field color for this type.","23418","A test to get the field color value in Hex format","","Thu Apr 03 08:14:34 UTC 2025","passed","Thu Apr 03 08:14:57 UTC 2025","","Info. Checking the basic functions for the CheckBox","application.Samples.Info.CheckboxOnInfoTest","color"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated","20598","Run-time exception validation test","","Thu Apr 03 07:56:37 UTC 2025","passed","Thu Apr 03 07:56:57 UTC 2025","","Form. Checking the basic functions for the Percent in the widget Form","application.Samples.Form.PercentOnFormTest","runtimeException"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated","14296","Run-time exception validation test","","Thu Apr 03 07:49:19 UTC 2025","passed","Thu Apr 03 07:49:33 UTC 2025","","Form. Checking the basic functions for the DateTimeWithSeconds in the widget Form","application.Samples.Form.DateTimeWithSecondsOnFormTest","runtimeException"
"","18736","The test for getting the value from the field","","Thu Apr 03 08:07:20 UTC 2025","passed","Thu Apr 03 08:07:38 UTC 2025","","Info. Checking the basic functions for the Radio","application.Samples.Info.RadioOnInfoTest","read"
"The test gets the value from the style attribute in RGB format, and then converts it to Hex format","18621","A test to get the field color value in Hex format","","Thu Apr 03 08:03:23 UTC 2025","passed","Thu Apr 03 08:03:41 UTC 2025","","Form. Checking the basic functions for the CheckBox","application.Samples.Form.CheckBoxOnFormTest","color"
"","19010","A test to compare the source file with the downloaded one","","Thu Apr 03 08:11:14 UTC 2025","passed","Thu Apr 03 08:11:33 UTC 2025","","Info. Checking the basic functions for the FileUp","application.Samples.Info.FileUploadOnInfoTest","compare"
"The test sets the value with the wrong data type in the field. After approval, it checks the text under the field, which informs about the correctness of the type of data entered","21239","Required Message validation test for one field","","Thu Apr 03 08:01:53 UTC 2025","passed","Thu Apr 03 08:02:14 UTC 2025","","Form. Checking the basic functions for the CheckBox","application.Samples.Form.CheckBoxOnFormTest","fieldLevelValidationAnnotation"
"The test gets the value from the placeholder attribute and returns it in String format","12553","Test for getting the Placeholder value","","Thu Apr 03 07:56:07 UTC 2025","passed","Thu Apr 03 07:56:19 UTC 2025","","Form. Checking the basic functions for the Input in the widget Form","application.Samples.Form.InputOnFormTest","placeholder"
"The test checks for the disabled attribute","28903","A test to check the field for ""Read-only""","","Thu Apr 03 07:47:17 UTC 2025","passed","Thu Apr 03 07:47:46 UTC 2025","","Form. Checking the basic functions for the Dictionary in the widget Form","application.Samples.Form.DictionaryOnFormTest","readonly"
"The test checks for the disabled attribute","21431","A test to check the field for ""Read-only""","","Thu Apr 03 07:53:52 UTC 2025","passed","Thu Apr 03 07:54:13 UTC 2025","","Form. Checking the basic functions for the InlinePickList in the widget Form","application.Samples.Form.InlinePickListOnFormTest","readonly"
"DrillDown is not available for InfoWidget.","19721","The DrillDown test","","Thu Apr 03 08:09:28 UTC 2025","passed","Thu Apr 03 08:09:47 UTC 2025","","Info. Checking the basic functions for the MultiValueHover","application.Samples.Info.MultiValueHoverOnInfoTest","drillDown"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated","23694","Business Exception Validation Test","","Thu Apr 03 07:48:33 UTC 2025","passed","Thu Apr 03 07:48:57 UTC 2025","","Form. Checking the basic functions for the Dictionary in the widget Form","application.Samples.Form.DictionaryOnFormTest","businessException"
"The test sets the value with the wrong data type in the field. After approval, it checks the text under the field, which informs about the correctness of the type of data entered","22140","Required Message validation test for one field","","Thu Apr 03 07:56:50 UTC 2025","passed","Thu Apr 03 07:57:12 UTC 2025","","Form. Checking the basic functions for the FileUpload in the widget Form","application.Samples.Form.FileUploadOnFormTest","fieldLevelValidationAnnotation"
"","13450","The test for getting the value from the field","","Thu Apr 03 08:03:47 UTC 2025","passed","Thu Apr 03 08:04:01 UTC 2025","","Info. Checking the basic functions for the Input","application.Samples.Info.InputOnInfoTest","read"
"The test checks for the disabled attribute","15471","A test to check the field for ""Read-only""","","Thu Apr 03 07:56:35 UTC 2025","passed","Thu Apr 03 07:56:50 UTC 2025","","Form. Checking the basic functions for the FileUpload in the widget Form","application.Samples.Form.FileUploadOnFormTest","readonly"
"Checking the url before the transition and after the transition/click on a special element","42976","The DrillDown test","","Thu Apr 03 07:57:39 UTC 2025","passed","Thu Apr 03 07:58:22 UTC 2025","","Form. Checking the basic functions for the NumberDigits in the widget Form","application.Samples.Form.NumberDigitsOnFormTest","drillDown"
"","21188","The test for getting the value from the field","","Thu Apr 03 08:14:43 UTC 2025","passed","Thu Apr 03 08:15:04 UTC 2025","","Info. Checking the basic functions for the Percent","application.Samples.Info.PercentOnInfoTest","read"
"The test sets the value in the field. After approval, by clicking on the save button, the popup window, the title, the text in it, and the buttons are validated","19277","Confirmation Popup Validation Test","","Thu Apr 03 08:03:28 UTC 2025","passed","Thu Apr 03 08:03:47 UTC 2025","","Form. Checking the basic functions for the MultipleSelect in the widget Form","application.Samples.Form.MultipleSelectOnFormTest","confirm"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated","23806","Run-time exception validation test","","Thu Apr 03 07:58:35 UTC 2025","passed","Thu Apr 03 07:58:59 UTC 2025","","Form. Checking the basic functions for the InlinePickList in the widget Form","application.Samples.Form.InlinePickListOnFormTest","runtimeException"
"Checking the url before the transition and after the transition/click on a special element","24276","The DrillDown test","","Thu Apr 03 07:46:08 UTC 2025","passed","Thu Apr 03 07:46:32 UTC 2025","","Form. Checking the basic functions for the Dictionary in the widget Form","application.Samples.Form.DictionaryOnFormTest","drillDown"
