"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"The test gets the value from the placeholder attribute and returns it in String format","29727","Test for getting the Placeholder value","","Wed Apr 02 09:28:41 UTC 2025","passed","Wed Apr 02 09:29:10 UTC 2025","","Form. Checking the basic functions for the Dictionary in the widget Form","application.Samples.Form.DictionaryOnFormTest","placeholder"
"The test gets the value from the style attribute in RGB format, and then converts it to Hex format","15617","A test to get the field color value in Hex format","","Wed Apr 02 09:52:31 UTC 2025","passed","Wed Apr 02 09:52:47 UTC 2025","","Info. Checking the basic functions for the Money","application.Samples.Info.MoneyOnInfoTest","color"
"Info Widget is always read-only","16788","A test to check the field for ""Read-only""","","Wed Apr 02 09:45:53 UTC 2025","passed","Wed Apr 02 09:46:10 UTC 2025","","Info. Checking the basic functions for the PickList","application.Samples.Info.PickListOnInfoTest","readonly"
"The test sets the value in the field. After approval, by clicking on the save button, the popup window, the title, the text in it, and the buttons are validated","35545","Confirmation Popup Validation Test","","Wed Apr 02 09:36:22 UTC 2025","passed","Wed Apr 02 09:36:58 UTC 2025","","Form. Checking the basic functions for the InlinePickList in the widget Form","application.Samples.Form.InlinePickListOnFormTest","confirm"
"The test gets the value from the style attribute in RGB format, and then converts it to Hex format","15422","A test to get the field color value in Hex format","","Wed Apr 02 09:27:03 UTC 2025","passed","Wed Apr 02 09:27:18 UTC 2025","","Form. Checking the basic functions for the DateTimeWithSeconds in the widget Form","application.Samples.Form.DateTimeWithSecondsOnFormTest","color"
"Sorting is not available for InfoWidget.","49924","Sorting test","","Wed Apr 02 09:51:32 UTC 2025","passed","Wed Apr 02 09:52:22 UTC 2025","","Info. Checking the basic functions for the Percent","application.Samples.Info.PercentOnInfoTest","sorting"
"The test clears the field and clicks the Save button. Then validates the message that the field is required","25326","Required Message text Verification field test","","Wed Apr 02 09:26:30 UTC 2025","passed","Wed Apr 02 09:26:56 UTC 2025","","Form. Checking the basic functions for the Text in the widget Form","application.Samples.Form.TextOnFormTest","required"
"The test checks for the disabled attribute","15908","A test to check the field for ""Read-only""","","Wed Apr 02 09:27:28 UTC 2025","passed","Wed Apr 02 09:27:44 UTC 2025","","Form. Checking the basic functions for the Money in the widget Form","application.Samples.Form.MoneyOnFormTest","readonly"
"The test sets the value with the wrong data type in the field. After approval, it checks the text under the field, which informs about the correctness of the type of data entered","23878","Required Message validation test for one field","","Wed Apr 02 09:29:56 UTC 2025","passed","Wed Apr 02 09:30:20 UTC 2025","","Form. Checking the basic functions for the Date in the widget Form","application.Samples.Form.DateOnFormTest","fieldLevelValidationAnnotationAlternative"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated","24005","Business Exception Validation Test","","Wed Apr 02 09:26:56 UTC 2025","passed","Wed Apr 02 09:27:20 UTC 2025","","Form. Checking the basic functions for the Text in the widget Form","application.Samples.Form.TextOnFormTest","businessException"
"DrillDown is not available for InfoWidget.","26045","The DrillDown test","","Wed Apr 02 09:48:29 UTC 2025","passed","Wed Apr 02 09:48:55 UTC 2025","","Info. Checking the basic functions for the MultiValueHover","application.Samples.Info.MultiValueHoverOnInfoTest","drillDown"
"Info Widget is always read-only","23853","A test to check the field for ""Read-only""","","Wed Apr 02 09:53:09 UTC 2025","passed","Wed Apr 02 09:53:32 UTC 2025","","Info. Checking the basic functions for the Percent","application.Samples.Info.PercentOnInfoTest","readonly"
"Filtering is not available for InfoWidget.","23414","Filtering test","","Wed Apr 02 09:51:31 UTC 2025","passed","Wed Apr 02 09:51:54 UTC 2025","","Info. Checking the basic functions for the Money","application.Samples.Info.MoneyOnInfoTest","filtration"
"DrillDown is not available for InfoWidget.","17933","The DrillDown test","","Wed Apr 02 09:47:07 UTC 2025","passed","Wed Apr 02 09:47:25 UTC 2025","","Info. Checking the basic functions for the PickList","application.Samples.Info.PickListOnInfoTest","drillDown"
"Filtering is not available for the Form widget","21700","Filtering test","","Wed Apr 02 09:32:29 UTC 2025","passed","Wed Apr 02 09:32:51 UTC 2025","","Form. Checking the basic functions for the InlinePickList in the widget Form","application.Samples.Form.InlinePickListOnFormTest","filtration"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated","25564","Run-time exception validation test","","Wed Apr 02 09:30:11 UTC 2025","passed","Wed Apr 02 09:30:37 UTC 2025","","Form. Checking the basic functions for the Dictionary in the widget Form","application.Samples.Form.DictionaryOnFormTest","runtimeException"
"","18755","Test to get the name of the downloaded file","","Wed Apr 02 09:49:50 UTC 2025","passed","Wed Apr 02 09:50:08 UTC 2025","","Info. Checking the basic functions for the FileUp","application.Samples.Info.FileUploadOnInfoTest","getFileName"
"The test gets the value from the style attribute in RGB format, and then converts it to Hex format","19213","A test to get the field color value in Hex format","","Wed Apr 02 09:29:12 UTC 2025","passed","Wed Apr 02 09:29:31 UTC 2025","","Form. Checking the basic functions for the Money in the widget Form","application.Samples.Form.MoneyOnFormTest","color"
"The test sets a value with the wrong data type in several fields for different widgets. After approval, it checks the text under the field, which informs about the correctness of the type of data entered","23634","Required Message validation test for multiple fields","","Wed Apr 02 09:43:13 UTC 2025","passed","Wed Apr 02 09:43:37 UTC 2025","","Form. Checking the basic functions for the Number in the widget Form","application.Samples.Form.NumberOnFormTest","fieldLevelValidation"
"Sorting is not available for InfoWidget.","40777","Sorting test","","Wed Apr 02 09:52:51 UTC 2025","passed","Wed Apr 02 09:53:31 UTC 2025","","Info. Checking the basic functions for the MultiValue","application.Samples.Info.MultiValueOnInfoTest","sorting"
"Sorting is not available for the Form widget","129784","Sorting test","","Wed Apr 02 09:22:55 UTC 2025","passed","Wed Apr 02 09:25:05 UTC 2025","","Form. Checking the basic functions for the Dictionary in the widget Form","application.Samples.Form.DictionaryOnFormTest","sorting"
