"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Sorting is not available for the Form widget","36571","Sorting test","","Wed Apr 02 11:09:26 UTC 2025","passed","Wed Apr 02 11:10:02 UTC 2025","","Form. Checking the basic functions for the MultiValue in the widget Form","application.Samples.Form.MultiValueOnFormTest","sorting"
"The test gets the value from the style attribute in RGB format, and then converts it to Hex format","19121","A test to get the field color value in Hex format","","Wed Apr 02 11:18:16 UTC 2025","passed","Wed Apr 02 11:18:35 UTC 2025","","Info. Checking the basic functions for the PickList","application.Samples.Info.PickListOnInfoTest","color"
"DrillDown is not available for InfoWidget.","32370","The DrillDown test","","Wed Apr 02 11:21:27 UTC 2025","passed","Wed Apr 02 11:21:59 UTC 2025","","Info. Checking the basic functions for the Dictionary","application.Samples.Info.DictionaryOnInfoTest","drillDown"
"","18047","The test for getting the value from the field","","Wed Apr 02 11:21:05 UTC 2025","passed","Wed Apr 02 11:21:24 UTC 2025","","Info. Checking the basic functions for the MultiValueHover","application.Samples.Info.MultiValueHoverOnInfoTest","read"
"Filtering is not available for the Form widget","18151","Filtering test","","Wed Apr 02 11:08:53 UTC 2025","passed","Wed Apr 02 11:09:11 UTC 2025","","Form. Checking the basic functions for the PickList in the widget Form","application.Samples.Form.PickListOnFormTest","filtration"
"The test sets the value in the field via Popup using a unique id, and then checks the value in the field with what needs to be set","18540","A test for setting a value in a field","","Wed Apr 02 11:09:56 UTC 2025","passed","Wed Apr 02 11:10:15 UTC 2025","","Form. Checking the basic functions for the PickList in the widget Form","application.Samples.Form.PickListOnFormTest","edit"
"The test gets the value from the style attribute in RGB format, and then converts it to Hex format","18273","A test to get the field color value in Hex format","","Wed Apr 02 11:18:09 UTC 2025","passed","Wed Apr 02 11:18:28 UTC 2025","","Info. Checking the basic functions for the Radio","application.Samples.Info.RadioOnInfoTest","color"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated","18764","Run-time exception validation test","","Wed Apr 02 11:15:27 UTC 2025","passed","Wed Apr 02 11:15:46 UTC 2025","","Form. Checking the basic functions for the Number in the widget Form","application.Samples.Form.NumberOnFormTest","runtimeException"
"The test clears the field and clicks the Save button. Then validates the message that the field is required","17844","Required Message text Verification field test","","Wed Apr 02 10:57:40 UTC 2025","failed","Wed Apr 02 10:57:58 UTC 2025","","Form. Checking the basic functions for the DateTime in the widget Form","application.Samples.Form.DateTimeOnFormTest","required"
"Filtering is not available for the Form widget","18762","Filtering test","","Wed Apr 02 11:00:37 UTC 2025","passed","Wed Apr 02 11:00:56 UTC 2025","","Form. Checking the basic functions for the Date in the widget Form","application.Samples.Form.DateOnFormTest","filtration"
